,city_in_israel,star_rate,guests_number,bedroom_number,beds_number,baths_number,price_for_night,cleanliness_rate,communication_rate,check_in_rate,accuracy_rate,location_rate,value_rate,balcony,wifi,tv
82,"Tiberias, North District, Israel",Nan,3,10,23,10,573,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
83,"Tiberias, North District, Israel",,9,4,4,5.5,"3,266",Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
84,"Tiberias, North District, Israel",Nan,4,1,2,1,357,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
85,"Tiberias, North District, Israel",,5,2,3,1,800,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
86,"Tiberias, North District, Israel",4.50 ·,4,1,2,1,513,4.2,4.6,4.9,4.6,4.9,4.5,no,yes,yes
87,"Tverya, North District, Israel",4.67 ·,2,1,1,1,255,5,5,5,5,5,5,no,yes,yes
88,"Poriya Ilit, Israel",4.92 ·,4,1,2,1.5,621,4.8,5,5,4.9,5,4.6,no,yes,yes
89,"Tiberias, North District, Israel",5.0 ·,5,2,5,1,410,4.9,4.9,5,5,4.7,5,no,yes,yes
90,"Tiberias, North District, Israel",4.0 ·,2,1,1,1,449,5,4.8,5,4.3,4.7,4.3,no,yes,yes
91,"Tverya, North District, Israel",5.0 ·,4,2,2,1,600,4.9,5,5,5,5,4.9,no,yes,yes
92,"Tiberias, North District, Israel",4.91 ·,6,3,3,2.5,"1,136",4.8,5,4.9,4.8,4.7,4.8,no,yes,yes
93,"Tiberias, North District, Israel",,4,1,2,1,479,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
94,"Tverya, North District, Israel",4.83 ·,1,4,4,2.5,"1,500",4.7,4.8,4.9,4.9,4.7,4.8,no,yes,yes
95,"migdal, israel, Israel",4.71 ·,4,Studio,2,1,403,4.9,4.8,4.8,4.9,4.9,4.7,no,yes,yes
96,"Arbel, North District, Israel",,4,1,2,1,956,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
97,"Tiberias, North District, Israel",3.60 ·,2,1,2,1,229,3.4,4.6,4.6,3.4,4.6,4,no,yes,yes
98,"Tiberias, North District, Israel",4.88 ·,5,2,2,1,278,4.8,5,5,4.9,4.9,4.9,no,yes,yes
99,"Tiberias, North District, Israel",4.89 ·,1,2,5,3.5,"1,990",4.9,5,5,4.9,4.8,4.7,no,yes,yes
100,"Poria Illit, North District, Israel",5.0 ·,2,1,1,1,191,5,5,5,4.4,4.6,4.9,yes,yes,yes
101,"Tiberias, North District, Israel",4.54 ·,4,2,2,1,529,4.8,4.7,4.8,4.8,4.5,4.5,no,yes,yes
102,"Tiberias, North District, Israel",,4,2,2,1,250,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
103,"Tiberias, North District, Israel",4.41 ·,6,2,6,1.5,882,4.2,4.8,4.9,4.5,4.4,4.3,yes,yes,yes
104,"Tiberias, North District, Israel",Nan,5,1,3,1,357,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
105,"Arbel, North District, Israel",5.0 ·,4,1,2,1,956,4.5,5,5,5,4.5,4.8,no,yes,yes
106,"Tverya, North District, Israel",4.65 ·,8,3,3,2.5,793,4.6,4.8,4.8,4.7,4.5,4.5,no,yes,yes
107,"Tiberias, North District, Israel",5.0 ·,8,4,7,2.5,"1,611",5,5,5,5,4.8,5,no,yes,yes
108,"Tiberias, North District, Israel",,2,1,1,1,683,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
109,"Tiberias, North District, Israel",5.0 ·,7,1,3,1.5,750,5,5,5,5,5,5,no,yes,yes
110,"Tiberias, North District, Israel",,1,3,6,2.5,"1,120",Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
111,"Tiberias, North District, Israel",Nan,4,1,2,1,537,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
112,"Poriya Ilit, North District, Israel",4.72 ·,2,1,1,1,120,4.9,4.9,4.8,4.6,4.6,4.7,yes,yes,yes
113,"Tiberias, North District, Israel",4.41 ·,6,3,3,1.5,300,4.5,4.8,4.8,4.7,4.6,4.6,no,yes,yes
114,"Tiberias, North District, Israel",4.86 ·,8,3,3,1,757,5,4.9,5,4.7,5,4.7,no,yes,yes
115,"Tiberias, North District, Israel",Nan,4,1,2,1,368,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
116,"Tiberias, North District, Israel",4.67 ·,6,2,4,1.5,466,4.4,5,5,4.8,4.7,4.8,yes,yes,yes
117,"מגדל, מחוז הצפון, Israel",,4,1,2,1,369,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
118,"Migdal, North District, Israel",Nan,4,1,1,1,356,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
119,"Tiberias, North District, Israel",4.75 ·,2,1,2,1,700,4.5,5,5,5,4.8,4.8,no,yes,yes
120,"Tiberias, North District, Israel",5.0 ·,8,2,5,2,563,5,5,5,5,5,5,yes,yes,yes
121,"Tverya, North District, Israel",4.24 ·,4,2,3,1,357,4,4.4,4.3,4.3,4.5,4.4,no,yes,yes
122,"Migdal, North District, Israel",4.85 ·,5,Studio,2,1,714,4.8,4.9,4.8,4.9,5,4.8,yes,yes,yes
123,"Tiberias, North District, Israel",,2,1,3,1,700,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
124,"Tiberias, North District, Israel",5.0 ·,2,1,1,1,850,5,5,4.8,5,4.8,4.9,yes,yes,yes
125,"Migdal, North District, Israel",4.95 ·,9,2,3,1.5,591,5,5,5,4.8,4.8,4.9,no,yes,yes
126,"Tiberias, North District, Israel",,4,1,2,1,664,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
127,"Tiberias, North District, Israel",Nan,2,1,1,1,526,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
128,"Poriya Ilit, North District, Israel",4.82 ·,4,2,3,1.5,350,4.7,5,4.9,4.8,4.8,4.8,no,yes,yes
129,"Tiberias, North District, Israel",,2,1,1,1.5,591,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
130,"Tiberias, North District, Israel",4.92 ·,2,1,1,1.5,450,4.8,5,5,5,5,4.8,no,yes,yes
131,"Poria Illit, North District, Israel",4.67 ·,4,1,4,1.5,286,5,5,5,5,5,5,no,yes,yes
132,"Migdal, North District, Israel",4.33 ·,4,Studio,2,1,403,4.7,4.2,4.6,4.6,4.6,4.4,no,yes,yes
133,"Tiberias, North District, Israel",4.43 ·,7,2,3,1,600,4.1,4.9,4.9,4.7,4.9,4.4,no,yes,yes
134,"Tiberias, North District, Israel",,8,3,6,2,900,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
135,"Tiberias, North District, Israel",3.86 ·,4,1,2,1,272,3.4,4.6,4.7,4.3,4.4,3.9,yes,yes,yes
136,"Poria Illit, North District, Israel",4.80 ·,1,6,8,4,450,5,4.9,4.9,4.7,4.9,4.9,yes,yes,yes
137,"Tiberias, North District, Israel",4.25 ·,7,1,4,1.5,650,3.5,5,5,4.2,4.2,3.8,no,yes,yes
138,"Tiberias, North District, Israel",4.18 ·,5,2,2,1.5,300,4.4,4.8,4.3,4.4,4.3,4.2,no,yes,yes
139,"Poriya Ilit, North District, Israel",,6,2,6,1,557,Nan,Nan,Nan,Nan,Nan,Nan,no,no,yes
140,"Tiberias, North District, Israel",4.18 ·,5,2,2,1.5,300,4.4,4.8,4.3,4.4,4.3,4.2,no,yes,yes
141,"Poria Illit, North District, Israel",,5,1,3,1,238,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
142,"Tiberias, North District, Israel",4.53 ·,6,2,6,1.5,610,4.5,5,5,4.5,4.5,4.5,no,yes,yes
143,"Tiberias, North District, Israel",Nan,1,6,6,4,"3,047",Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
144,"Tiberias, North District, Israel",4.34 ·,8,3,2,1,500,3.9,4.8,4.8,4.6,4.5,4.5,no,yes,yes
145,"Tiberias, North District, Israel",5.0 ·,8,2,4,2,"1,700",4.9,5,5,4.8,5,4.7,yes,yes,yes
146,"Tiberias, North District, Israel",4.40 ·,5,1,1,1,550,4.2,5,5,5,4.2,4.6,yes,yes,yes
147,"Migdal, North District, Israel",4.94 ·,6,2,3,1.5,800,4.8,5,4.9,4.9,4.9,4.9,yes,yes,yes
148,"Tiberias, North District, Israel",,3,Studio,1,1,279,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
149,"Tiberias, North District, Israel",4.68 ·,7,2,2,1,600,4.7,5,5,5,4.8,4.8,yes,yes,yes
150,"Tiberias, North District, Israel",,4,1,1,1,364,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
151,"Tiberias, North District, Israel",4.86 ·,1,5,9,4,"2,857",4.7,4.9,4.9,4.8,4.9,4.8,no,yes,yes
152,"Tiberias, North District, Israel",4.14 ·,5,1,2,1,800,4,4.6,4.4,4,4.4,3.9,no,yes,yes
153,"מגדל, מחוז הצפון, Israel",,8,3,7,1.5,806,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
154,"Migdal, Israel",4.77 ·,2,1,1,1,564,4.8,4.6,4.9,4.6,4.7,4.4,yes,yes,yes
155,"Tiberias, North District, Israel",,4,1,4,1.5,480,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
156,"Migdal, Israel",4.62 ·,6,2,5,1,529,4.7,4.8,4.7,4.5,4.8,4.6,no,yes,yes
157,"Tiberias, North District, Israel",3.80 ·,5,1,4,1.5,480,4.5,4.8,4.9,4.4,4.5,4,no,yes,yes
158,"Poriya Ilit, North District, Israel",4.86 ·,5,1,7,1,400,4.8,4.9,4.9,4.9,4.8,4.8,no,yes,yes
159,"Tverya, North District, Israel",4.72 ·,8,3,3,2,"1,000",4.6,4.6,4.8,4.8,4.9,4.7,no,yes,yes
160,"Tiberias, North District, Israel",Nan,4,1,2,1,689,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
161,"Tiberias, North District, Israel",Nan,4,1,2,1,610,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
162,"Tiberias, North District, Israel",5.0 ·,5,2,3,1,404,3.3,3.7,3.7,3.7,3.7,3.7,no,yes,yes
163,"Tiberias, North District, Israel",5.0 ·,1,4,7,3.5,"1,874",5,5,5,4.3,5,5,yes,no,yes
164,"Tiberias, North District, Israel",,5,1,1,1,500,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
165,"Tiberias, North District, Israel",Nan,4,1,2,1,549,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
166,"Migdal, North District, Israel",,2,Studio,1,1,369,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
167,"Tiberias, North District, Israel",4.89 ·,1,5,5,4.5,"2,500",4.8,5,4.9,4.9,4.9,4.9,yes,yes,yes
168,"Tiberias, North District, Israel",3.83 ·,3,Studio,1,1,279,4.3,4.2,3.5,4,4.5,4,no,yes,yes
169,"Tiberias, North District, Israel",4.86 ·,1,4,12,3,"3,214",4.7,4.8,5,4.8,5,4.7,no,yes,yes
170,"Tiberias, Israel, Israel",4.86 ·,1,4,4,2,"2,271",4.8,4.9,4.9,4.8,4.8,4.6,no,yes,yes
171,"Tiberias, North District, Israel",Nan,1,3,7,1.5,600,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
172,"Tiberias, North District, Israel",4.81 ·,1,3,9,1.5,355,4.8,4.8,4.9,4.8,4.8,4.7,no,yes,yes
173,"HaZor'im, North District, Israel",5.0 ·,1,4,4,3,"3,586",5,5,5,4.9,5,4.9,no,yes,yes
174,"Tiberias, North District, Israel",Nan,4,2,2,1,750,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
175,"Migdal, North District, Israel",,1,4,4,4,"2,051",Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
176,"Tiberias, North District, Israel",4.33 ·,1,5,12,2,874,4.5,4.7,4.8,4.2,4,4.2,no,yes,yes
177,"Tiberias, North District, Israel",,6,2,3,1,640,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
178,"Tiberias, North District, Israel",3.67 ·,7,2,3,1,664,4,4.7,4.3,3.7,4.7,4,no,yes,yes
179,"Migdal, North District, Israel",Nan,4,1,2,1,755,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
180,"Tiberias, North District, Israel",,4,1,2,1.5,434,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
181,"Tiberias, North District, Israel",,8,4,7,2.5,"2,471",Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
182,"Poriya Ilit, North District, Israel",4.79 ·,4,1,4,1,186,4.8,4.8,4.8,4.8,4.6,4.7,no,yes,yes
183,"Tiberias, North District, Israel",Nan,4,1,2,1,495,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
184,"Poriya Ilit, North District, Israel",4.88 ·,6,3,4,1.5,907,4.6,4.9,5,5,4.9,4.9,no,yes,yes
185,"Tiberias, North District, Israel",Nan,7,2,4,1,714,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
186,"Tiberias, IL",,3,1,1,1,207,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
187,"Kfar Hittim, North District, Israel",4.45 ·,1,4,5,3.5,"1,565",4.5,4.7,4.9,4.6,4.9,4.5,yes,yes,yes
188,"Tiberias, North District, Israel",,7,2,2,2,610,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
189,"Tverya, North District, Israel",,4,1,1,1,407,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
190,"Tverya, North District, Israel",4.63 ·,1,1,4,1,"2,000",4.6,4.8,4.8,4.6,4.8,4.6,no,yes,yes
191,"Tiberias, North District, Israel",,1,4,4,3,"2,925",Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
192,"Tiberias, North District, Israel",4.57 ·,4,1,1,1,529,4.6,4.4,4.4,4.6,4.4,4.2,no,yes,yes
193,"Tiberias, North District, Israel",4.33 ·,4,1,3,1,349,5,4.7,5,4.7,4.3,4,no,yes,yes
194,"Tiberias, North District, Israel",4.33 ·,3,1,3,1,431,4.7,5,5,4.7,4.7,4.3,yes,yes,yes
195,"Tiberias, North District, Israel",Nan,2,1,1,1,482,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
196,"Sharona, North District, Israel",4.80 ·,8,2,7,1,800,4.8,5,5,5,5,5,no,yes,yes
197,"Tiberias, North District, Israel",5.0 ·,1,3,4,2,843,5,5,5,5,5,5,no,yes,yes
198,"Tiberias, North District, Israel",Nan,3,1,2,1,547,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
199,"Tiberias, North District, Israel",4.50 ·,1,4,10,2,595,4.5,5,5,4.8,4.8,5,no,no,yes
200,"Tiberias, North District, Israel",Nan,3,1,2,1,547,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
201,"Tiberias, North District, Israel",4.50 ·,1,4,10,2,595,4.5,5,5,4.8,4.8,5,no,no,yes
202,"Tiberias, North District, Israel",4.33 ·,4,2,3,1,320,4.7,5,4.3,4.7,5,4,no,no,yes
203,"Migdal, North District, Israel",4.60 ·,6,2,3,1,800,4.2,5,5,5,5,4.6,no,yes,yes
204,"Tiberias, North District, Israel",Nan,3,1,2,1,534,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
205,"Tiberias, North District, Israel",4.67 ·,3,1,3,1,264,4.8,5,4.9,4.7,4.6,4.5,no,yes,yes
206,"Tverya, North District, Israel",4.75 ·,7,3,4,1.5,800,5,5,5,5,4.8,4.8,no,no,yes
207,"Tiberias, North District, Israel",,5,2,2,1,144,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
208,"Migdal, North District, Israel",Nan,1,2,2,1.5,500,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
209,"Tiberias, North District, Israel",5.0 ·,1,2,10,1.5,561,5,5,4.8,5,5,5,no,yes,yes
210,"Tiberias, North District, Israel",4.89 ·,8,4,6,2.5,"2,000",5,5,5,5,4.9,4.8,yes,yes,yes
211,"Tverya, North District, Israel",,1,3,10,2,"1,000",Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
212,"Tiberias, North District, Israel",4.71 ·,2,1,1,1,350,5,5,5,4.7,5,4.7,no,yes,yes
213,"Poriya Ilit, North District, Israel",4.78 ·,7,2,7,2,600,4.9,4.8,5,4.9,4.6,4.6,yes,yes,yes
214,"Tiberias, North District, Israel",4.29 ·,6,2,3,1.5,600,4.3,4.3,4.3,4.4,4.3,4.3,yes,yes,yes
215,"Migdal, North District, Israel",4.75 ·,3,Studio,1,1,714,4.6,5,5,4.8,5,5,no,yes,yes
216,"Tiberias, North District, Israel",Nan,Nan,Nan,Nan,Nan,400,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
217,"Tiberias, North District, Israel",3.80 ·,5,1,2,1,520,4.4,5,5,3.8,4.6,4,no,yes,yes
218,"Tiberias, North District, Israel",Nan,4,Studio,1,1,409,Nan,Nan,Nan,Nan,Nan,Nan,yes,yes,yes
